,NOM,NOMBRE
40496,ARTHUR,165
40590,ARTIGUE,107
40603,ARTIGUES,168
40634,ARTIS,117
40707,ARTUR,102
40714,ARTUS,322
41002,ARZUR,108
41344,ASENCIO,117
41372,ASENSIO,178
41751,ASLAN,364
42093,ASSADI,107
42159,ASSAILLY,113
42259,ASSANI,234
42354,ASSAYAG,107
42435,ASSELIN,379
42442,ASSELINEAU,113
42465,ASSEMAT,236
42592,ASSIE,300
42598,ASSIER,166
42829,ASSOULINE,312
42858,ASSOUS,243
43033,ASTIC,102
43036,ASTIE,128
43038,ASTIER,1150
43082,ASTOLFI,120
43170,ASTRUC,672
43631,ATES,125
43651,ATGER,139
43674,ATHANASE,103
43945,ATLAN,576
43947,ATLANI,141
43983,ATMANI,177
44230,ATTAL,568
44242,ATTALI,415
44282,ATTAR,159
44285,ATTARD,376
44376,ATTIA,666
44387,ATTIAS,247
44511,ATTOUMANI,314
44680,AUBARD,145
44707,AUBE,361
44719,AUBEL,141
44735,AUBER,266
44745,AUBERGER,228
44768,AUBERT,5225
44799,AUBERTIN,559
44851,AUBIER,128
44867,AUBIN,1225
44877,AUBINEAU,310
44891,AUBLANC,118
44936,AUBOURG,201
44966,AUBREE,313
45000,AUBRIOT,122
45004,AUBRON,109
45006,AUBRUN,291
45011,AUBRY,3412
45102,AUCHER,180
45142,AUCLAIR,635
45173,AUCOUTURIER,143
45227,AUDEBERT,600
45268,AUDEMARD,106
45307,AUDET,162
45345,AUDIBERT,891
45354,AUDIC,163
45362,AUDIER,140
45390,AUDIGIER,225
45403,AUDIN,214
45412,AUDINET,120
45418,AUDINOT,100
45440,AUDO,187
45441,AUDOIN,344
45460,AUDONNET,107
45475,AUDOUARD,309
45486,AUDOUIN,466
45501,AUDOUX,217
45504,AUDOUY,163
45515,AUDRAIN,302
45519,AUDRAN,259
45531,AUDREN,211
45559,AUDRY,187
45580,AUDUREAU,278
45595,AUDY,127
45600,AUER,149
45638,AUFFRAY,537
45649,AUFFRET,927
45680,AUFRERE,200
45697,AUGAGNEUR,112
45717,AUGE,971
45719,AUGEARD,113
45749,AUGENDRE,153
45758,AUGER,1860
45770,AUGEREAU,516
45799,AUGEY,102
45813,AUGIER,746
45827,AUGIS,137
45868,AUGROS,109
45885,AUGUET,137
45898,AUGUIN,125
45914,AUGUSTE,721
45937,AUGUSTIN,607
45944,AUGUSTINE,120
45961,AUGUSTO,237
46027,AUGUY,156
46042,AUJARD,115
46116,AULAS,124
46212,AUMAITRE,127
46271,AUMONT,406
46303,AUNEAU,149
46356,AUPETIT,322
46405,AUPY,129
46450,AURAY,133
46454,AURE,120
46525,AURIAC,156
46541,AURIAULT,119
46596,AURIOL,397
46648,AUROUSSEAU,132
46652,AUROUX,221
46655,AUROY,163
46675,AURY,141
46740,AUSSANT,138
46757,AUSSEL,174
46762,AUSSENAC,138
46777,AUSSET,143
46849,AUSTRUY,186
46956,AUTHIE,105
46958,AUTHIER,416
46976,AUTIER,204
46986,AUTIN,241
46993,AUTISSIER,171
47021,AUTRAN,190
47032,AUTRET,450
47109,AUVINET,222
47122,AUVRAY,1008
47177,AUZANNEAU,156
47264,AUZOU,207
47442,AVCI,157
47521,AVELINE,366
47574,AVENEL,518
47665,AVEROUS,138
47681,AVERTY,265
47756,AVICE,139
47792,AVIGNON,355
47911,AVISSE,197
47998,AVON,201
48090,AVRIL,1132
48109,AVRILLON,132
48420,AYACHE,426
48425,AYACHI,175
48433,AYAD,327
48444,AYADI,434
48464,AYALA,146
48522,AYARI,336
48630,AYDIN,508
48651,AYDOGAN,136
48911,AYMARD,529
48920,AYME,385
48940,AYMES,126
49015,AYOUB,124
49055,AYRAL,232
49066,AYRAULT,263
49286,AZAIS,619
49314,AZAM,269
49520,AZE,129
49589,AZEMA,512
49596,AZEMAR,219
49701,AZEVEDO,208
49968,AZIZ,220
49969,AZIZA,108
49990,AZIZI,228
50062,AZNAR,305
50205,AZOULAI,118
50207,AZOULAY,928
50242,AZOUZ,104
50292,AZRIA,185
50392,AZZAOUI,101
50444,AZZI,192
50482,AZZOPARDI,274
50498,AZZOUG,151
50514,AZZOUZ,282
50520,AZZOUZI,132
50536,BA,746
50610,BAALI,128
50719,BABA,184
50945,BABEAU,113
50959,BABEL,178
51077,BABIN,1015
51181,BABONNEAU,155
51203,BABOU,106
51283,BABU,114
51319,BABY,150
51335,BAC,184
51375,BACAR,288
51562,BACCONNIER,103
51569,BACCOUCHE,109
51604,BACH,875
51605,BACHA,248
51671,BACHE,173
51683,BACHELARD,220
51693,BACHELET,768
51700,BACHELIER,589
51712,BACHELLERIE,158
51719,BACHELOT,217
51731,BACHER,155
51750,BACHET,124
51802,BACHIR,172
51815,BACHIRI,164
51854,BACHMANN,159
51992,BACK,120
52055,BACLE,241
52060,BACLET,142
52072,BACO,131
52093,BACON,294
52108,BACONNIER,116
52122,BACOT,154
52124,BACOU,145
52149,BACQUE,248
52167,BACQUET,500
52310,BADAOUI,201
52393,BADE,101
52414,BADEL,165
52452,BADER,330
52476,BADET,283
52505,BADIA,154
52556,BADIE,203
52567,BADIER,174
52603,BADIN,421
52634,BADIOU,135
52666,BADJI,171
52740,BADOR,110
52789,BADOUX,113
52824,BADRI,147
52871,BADUEL,256
52986,BAER,121
53004,BAERT,450
53014,BAES,112
53075,BAEZA,205
53255,BAGARD,110
53605,BAGNIS,109
53608,BAGNOL,167
53652,BAGOT,279
53740,BAGUET,182
53763,BAGUR,126
53768,BAH,473
53931,BAHEUX,106
53952,BAHI,133
53966,BAHIER,119
54028,BAHLOUL,180
54142,BAHRI,262
54201,BAHUAUD,110
54227,BAI,103
54420,BAIL,106
54453,BAILET,177
54458,BAILEY,119
54488,BAILLARD,232
54514,BAILLE,330
54542,BAILLET,911
54551,BAILLEUL,988
54558,BAILLEUX,337
54584,BAILLIF,169
54609,BAILLON,427
54618,BAILLOT,282
54623,BAILLOU,127
54633,BAILLY,3497
54688,BAIN,184
54925,BAJARD,238
54976,BAJEUX,131
55266,BAKER,219
55406,BAKIR,159
55637,BAL,401
55752,BALAGUER,211
55852,BALAN,220
55959,BALARD,179
55973,BALAS,104
56026,BALAT,104
56062,BALAVOINE,216
56069,BALAY,207
56226,BALCON,126
56239,BALDACCHINO,187
56240,BALDACCI,102
56301,BALDE,227
56352,BALDET,108
56362,BALDI,159
56377,BALDINI,164
56405,BALDO,172
56461,BALDUCCI,155
56481,BALDY,168
56632,BALESTRA,123
56766,BALI,161
56773,BALIAN,117
56872,BALIN,104
56992,BALL,225
57059,BALLAND,746
57067,BALLANDRAS,177
57079,BALLANGER,193
57114,BALLARIN,182
57151,BALLAY,171
57160,BALLE,152
57197,BALLEREAU,172
57230,BALLESTER,428
57280,BALLET,602
57350,BALLION,114
57395,BALLON,160
57417,BALLOT,307
57458,BALLU,190
57483,BALLY,318
57517,BALME,209
57532,BALMES,111
57588,BALOCHE,154
57631,BALON,117
57770,BALSAN,107
57916,BALTHAZAR,101
57918,BALTHAZARD,163
58039,BALY,151
58134,BAMBA,243
58473,BANCE,210
58475,BANCEL,246
58503,BANCHEREAU,130
58781,BANET,125
59089,BANNIER,301
59133,BANON,157
59143,BANOS,174
59208,BANSARD,144
59215,BANSE,108
59518,BAPST,131
59538,BAPTISTA,254
59640,BAPTISTE,1128
59681,BAQUE,379
59698,BAQUET,132
59713,BAR,353
59714,BARA,409
59789,BARADAT,163
59797,BARADEL,160
59813,BARADJI,131
59938,BARALE,220
59968,BARAN,226
59999,BARANES,158
60007,BARANGER,481
60090,BARAS,124
60119,BARAT,619
60199,BARATIER,103
60210,BARATON,162
60220,BARATTE,167
60286,BARBA,239
60386,BARBARA,202
60422,BARBARIN,255
60431,BARBARIT,105
60445,BARBAROUX,157
60459,BARBARY,102
60476,BARBASTE,124
60480,BARBAT,201
60491,BARBATO,110
60497,BARBAUD,251
60519,BARBE,2476
60520,BARBEAU,391
60542,BARBEDETTE,123
60596,BARBER,139
60597,BARBERA,240
60620,BARBEREAU,187
60625,BARBERET,154
60640,BARBERIS,180
60645,BARBERO,240
60685,BARBET,759
60702,BARBEY,364
60736,BARBIER,5364
60764,BARBIERI,297
60784,BARBIEUX,178
60792,BARBIN,333
60862,BARBOSA,612
61036,BARBOT,774
61043,BARBOTIN,253
61100,BARBRY,134
61101,BARBU,145
61128,BARBUT,121
61177,BARCELO,275
61316,BARD,684
61398,BARDE,229
61399,BARDEAU,181
61410,BARDEL,147
61447,BARDET,1000
61491,BARDIN,933
61547,BARDON,523
61571,BARDOT,401
61579,BARDOU,519
61600,BARDOUX,251
61621,BARDY,489
61628,BARE,114
61662,BAREILLE,164
61682,BAREL,147
61738,BARES,238
61750,BARET,732
61774,BARETTE,109
61818,BARGAIN,157
61829,BARGE,313
61925,BARGUES,131
61973,BARHOUMI,225
62064,BARIL,275
62088,BARILLET,151
62099,BARILLOT,174
62258,BARKA,101
62380,BARLET,309
62392,BARLIER,221
62474,BARNABE,170
62516,BARNAUD,134
62524,BARNAY,143
62544,BARNEOUD,100
62556,BARNES,115
62590,BARNIER,491
62630,BARNOUIN,151
62652,BARO,161
62685,BAROIN,108
62712,BARON,3699
62737,BARONE,315
62750,BARONI,212
62773,BARONNET,172
62811,BAROT,124
62819,BAROU,228
62834,BAROUDI,159
62852,BAROUKH,117
62883,BAROUX,166
62928,BARRA,381
62966,BARRACO,117
63045,BARRAL,716
63078,BARRANCO,119
63089,BARRANGER,100
63124,BARRAS,364
63140,BARRAT,375
63157,BARRAU,590
63160,BARRAUD,959
63166,BARRAULT,489
63177,BARRAY,136
63191,BARRE,3058
63196,BARREAU,1418
63365,BARRERE,785
